region;state;city;state_code;city_code;health_region_code;health_region;population
Centro-Oeste;MS;Alcinópolis;50;500025;50001;Campo Grande;5343
Centro-Oeste;MS;Amambai;50;500060;50003;Dourados;39396
Centro-Oeste;MS;Bataguassu;50;500190;50004;Três Lagoas;23024
Centro-Oeste;MS;Batayporã;50;500200;50003;Dourados;11329
Centro-Oeste;MS;Bela Vista;50;500210;50001;Campo Grande;24629
Centro-Oeste;MS;Bonito;50;500220;50001;Campo Grande;21976
Centro-Oeste;MS;Brasilândia;50;500230;50004;Três Lagoas;11872
Centro-Oeste;MS;Campo Grande;50;500270;50001;Campo Grande;895982
Centro-Oeste;MS;Chapadão do Sul;50;500295;50001;Campo Grande;25218
Centro-Oeste;MS;Corumbá;50;500320;50002;Corumbá;111435
Centro-Oeste;MS;Coxim;50;500330;50001;Campo Grande;33543
Centro-Oeste;MS;Dourados;50;500370;50003;Dourados;222949
Centro-Oeste;MS;Guia Lopes da Laguna;50;500410;50001;Campo Grande;9895
Centro-Oeste;MS;Jardim;50;500500;50001;Campo Grande;26097
Centro-Oeste;MS;Ladário;50;500520;50002;Corumbá;23331
Centro-Oeste;MS;Miranda;50;500560;50001;Campo Grande;28013
Centro-Oeste;MS;Mundo Novo;50;500568;50003;Dourados;18366
Centro-Oeste;MS;Naviraí;50;500570;50003;Dourados;54878
Centro-Oeste;MS;Nova Andradina;50;500620;50003;Dourados;54374
Centro-Oeste;MS;Paraíso das Águas;50;500627;50001;Campo Grande;5555
Centro-Oeste;MS;Paranaíba;50;500630;50004;Três Lagoas;42148
Centro-Oeste;MS;Ponta Porã;50;500660;50003;Dourados;92526
Centro-Oeste;MS;Ribas do Rio Pardo;50;500710;50001;Campo Grande;24615
Centro-Oeste;MS;Rio Verde de Mato Grosso;50;500740;50001;Campo Grande;19746
Centro-Oeste;MS;São Gabriel do Oeste;50;500769;50001;Campo Grande;26771
Centro-Oeste;MS;Selvíria;50;500780;50004;Três Lagoas;6529
Centro-Oeste;MS;Sidrolândia;50;500790;50001;Campo Grande;57665
Centro-Oeste;MS;Sonora;50;500793;50001;Campo Grande;19274
Centro-Oeste;MS;Três Lagoas;50;500830;50004;Três Lagoas;121388
Centro-Oeste;MS;Vicentina;50;500840;50003;Dourados;6102
Centro-Oeste;MT;Acorizal;51;510010;51002;Baixada Cuiabana;5399
Centro-Oeste;MT;Água Boa;51;510020;51006;Médio Araguaia;25721
Centro-Oeste;MT;Alta Floresta;51;510025;51001;Alto Tapajós;51782
Centro-Oeste;MT;Aripuanã;51;510140;51008;Noroeste Matogrossense;22354
Centro-Oeste;MT;Barra do Garças;51;510180;51005;Garças Araguaia;61012
Centro-Oeste;MT;Cáceres;51;510250;51011;Oeste Matogrossense;94376
Centro-Oeste;MT;Campo Novo do Parecis;51;510263;51007;Médio Norte Matogrossense;35360
Centro-Oeste;MT;Canarana;51;510270;51006;Médio Araguaia;21579
Centro-Oeste;MT;Chapada dos Guimarães;51;510300;51002;Baixada Cuiabana;19752
Centro-Oeste;MT;Confresa;51;510335;51003;Araguaia Xingu;30933
Centro-Oeste;MT;Conquista D'Oeste;51;510336;51012;Sudoeste Matogrossense;4038
Centro-Oeste;MT;Cotriguaçu;51;510337;51008;Noroeste Matogrossense;19750
Centro-Oeste;MT;Cuiabá;51;510340;51002;Baixada Cuiabana;612547
Centro-Oeste;MT;Curvelândia;51;510343;51011;Oeste Matogrossense;5219
Centro-Oeste;MT;Ipiranga do Norte;51;510452;51014;Teles Pires;7667
Centro-Oeste;MT;Jaciara;51;510480;51013;Sul Matogrossense;27776
Centro-Oeste;MT;Jangada;51;510490;51002;Baixada Cuiabana;8409
Centro-Oeste;MT;Lambari D'Oeste;51;510523;51011;Oeste Matogrossense;6121
Centro-Oeste;MT;Lucas do Rio Verde;51;510525;51014;Teles Pires;65534
Centro-Oeste;MT;Vila Bela da Santíssima Trindade;51;510550;51012;Sudoeste Matogrossense;16128
Centro-Oeste;MT;Mirassol d'Oeste;51;510562;51011;Oeste Matogrossense;27739
Centro-Oeste;MT;Nova Lacerda;51;510618;51012;Sudoeste Matogrossense;6640
Centro-Oeste;MT;Nova Mutum;51;510622;51014;Teles Pires;45378
Centro-Oeste;MT;Peixoto de Azevedo;51;510642;51015;Vale do Peixoto;34976
Centro-Oeste;MT;Poconé;51;510650;51002;Baixada Cuiabana;32843
Centro-Oeste;MT;Pontal do Araguaia;51;510665;51005;Garças Araguaia;6711
Centro-Oeste;MT;Ponte Branca;51;510670;51005;Garças Araguaia;1576
Centro-Oeste;MT;Pontes e Lacerda;51;510675;51012;Sudoeste Matogrossense;45436
Centro-Oeste;MT;Poxoréu;51;510700;51013;Sul Matogrossense;16219
Centro-Oeste;MT;Primavera do Leste;51;510704;51013;Sul Matogrossense;62019
Centro-Oeste;MT;Querência;51;510706;51006;Médio Araguaia;17479
Centro-Oeste;MT;São José dos Quatro Marcos;51;510710;51011;Oeste Matogrossense;18906
Centro-Oeste;MT;Rio Branco;51;510720;51011;Oeste Matogrossense;5156
Centro-Oeste;MT;São Pedro da Cipa;51;510740;51013;Sul Matogrossense;4727
Centro-Oeste;MT;Rondonópolis;51;510760;51013;Sul Matogrossense;232491
Centro-Oeste;MT;Rosário Oeste;51;510770;51004;Centro Norte;17151
Centro-Oeste;MT;Santo Antônio do Leverger;51;510780;51002;Baixada Cuiabana;16628
Centro-Oeste;MT;Sinop;51;510790;51014;Teles Pires;142996
Centro-Oeste;MT;Sorriso;51;510792;51014;Teles Pires;90313
Centro-Oeste;MT;Tangará da Serra;51;510795;51007;Médio Norte Matogrossense;103750
Centro-Oeste;MT;Tapurah;51;510800;51014;Teles Pires;13705
Centro-Oeste;MT;União do Sul;51;510830;51014;Teles Pires;3525
Centro-Oeste;MT;Vale de São Domingos;51;510835;51012;Sudoeste Matogrossense;3127
Centro-Oeste;MT;Várzea Grande;51;510840;51002;Baixada Cuiabana;284971
Centro-Oeste;MT;Nova Monte Verde;51;510895;51001;Alto Tapajós;9178
Centro-Oeste;GO;Águas Lindas de Goiás;52;520025;52004;Entorno Sul;212440
Centro-Oeste;GO;Alexânia;52;520030;52011;Pirineus;27653
Centro-Oeste;GO;Aloândia;52;520050;52017;Sul;1995
Centro-Oeste;GO;Anápolis;52;520110;52011;Pirineus;386923
Centro-Oeste;GO;Anhanguera;52;520120;52005;Estrada de Ferro;1149
Centro-Oeste;GO;Aparecida de Goiânia;52;520140;52002;Centro Sul;578179
Centro-Oeste;GO;Aragarças;52;520170;52009;Oeste I;20118
Centro-Oeste;GO;Aragoiânia;52;520180;52002;Centro Sul;10308
Centro-Oeste;GO;Barro Alto;52;520320;52018;São Patrício II;11167
Centro-Oeste;GO;Bela Vista de Goiás;52;520330;52002;Centro Sul;29975
Centro-Oeste;GO;Bom Jesus de Goiás;52;520350;52017;Sul;25216
Centro-Oeste;GO;Britânia;52;520380;52012;Rio Vermelho;5779
Centro-Oeste;GO;Caldas Novas;52;520450;52005;Estrada de Ferro;91162
Centro-Oeste;GO;Campestre de Goiás;52;520460;52001;Central;3630
Centro-Oeste;GO;Campinorte;52;520470;52014;Serra da Mesa;12626
Centro-Oeste;GO;Campo Alegre de Goiás;52;520480;52005;Estrada de Ferro;7589
Centro-Oeste;GO;Campos Belos;52;520490;52006;Nordeste I;19887
Centro-Oeste;GO;Carmo do Rio Verde;52;520500;52013;São Patrício I;10082
Centro-Oeste;GO;Catalão;52;520510;52005;Estrada de Ferro;108823
Centro-Oeste;GO;Caturaí;52;520520;52001;Central;5070
Centro-Oeste;GO;Ceres;52;520540;52013;São Patrício I;22191
Centro-Oeste;GO;Cidade Ocidental;52;520549;52004;Entorno Sul;71376
Centro-Oeste;GO;Colinas do Sul;52;520552;52014;Serra da Mesa;3382
Centro-Oeste;GO;Corumbaíba;52;520590;52005;Estrada de Ferro;9723
Centro-Oeste;GO;Cristalina;52;520620;52004;Entorno Sul;58997
Centro-Oeste;GO;Faina;52;520753;52012;Rio Vermelho;6627
Centro-Oeste;GO;Formosa;52;520800;52003;Entorno Norte;121617
Centro-Oeste;GO;Goiandira;52;520850;52005;Estrada de Ferro;5600
Centro-Oeste;GO;Goianésia;52;520860;52018;São Patrício II;70084
Centro-Oeste;GO;Goiânia;52;520870;52001;Central;1516113
Centro-Oeste;GO;Goianira;52;520880;52001;Central;44289
Centro-Oeste;GO;Goiatuba;52;520910;52017;Sul;34095
Centro-Oeste;GO;Guapó;52;520920;52001;Central;14209
Centro-Oeste;GO;Inhumas;52;521000;52001;Central;52866
Centro-Oeste;GO;Ipameri;52;521010;52005;Estrada de Ferro;26985
Centro-Oeste;GO;Iporá;52;521020;52009;Oeste I;31531
Centro-Oeste;GO;Itaguaru;52;521060;52018;São Patrício II;5237
Centro-Oeste;GO;Itumbiara;52;521150;52017;Sul;104742
Centro-Oeste;GO;Jaraguá;52;521180;52018;São Patrício II;50511
Centro-Oeste;GO;Jataí;52;521190;52016;Sudoeste II;100882
Centro-Oeste;GO;Jesúpolis;52;521205;52001;Central;2490
Centro-Oeste;GO;Luziânia;52;521250;52004;Entorno Sul;208299
Centro-Oeste;GO;Mara Rosa;52;521280;52014;Serra da Mesa;9503
Centro-Oeste;GO;Minaçu;52;521308;52008;Norte;29070
Centro-Oeste;GO;Mineiros;52;521310;52016;Sudoeste II;66801
Centro-Oeste;GO;Montividiu;52;521375;52015;Sudoeste I;13396
Centro-Oeste;GO;Morrinhos;52;521380;52017;Sul;46136
Centro-Oeste;GO;Nerópolis;52;521450;52001;Central;29850
Centro-Oeste;GO;Niquelândia;52;521460;52014;Serra da Mesa;46388
Centro-Oeste;GO;Nova Glória;52;521486;52013;São Patrício I;8164
Centro-Oeste;GO;Nova Veneza;52;521500;52001;Central;9853
Centro-Oeste;GO;Novo Gama;52;521523;52004;Entorno Sul;115711
Centro-Oeste;GO;Padre Bernardo;52;521560;52018;São Patrício II;33835
Centro-Oeste;GO;Palmeiras de Goiás;52;521570;52010;Oeste II;28858
Centro-Oeste;GO;Palminópolis;52;521590;52010;Oeste II;3585
Centro-Oeste;GO;Paranaiguara;52;521630;52015;Sudoeste I;10057
Centro-Oeste;GO;Paraúna;52;521640;52010;Oeste II;10988
Centro-Oeste;GO;Piracanjuba;52;521710;52002;Centro Sul;24524
Centro-Oeste;GO;Pires do Rio;52;521740;52005;Estrada de Ferro;31458
Centro-Oeste;GO;Planaltina;52;521760;52003;Entorno Norte;89918
Centro-Oeste;GO;Porangatu;52;521800;52008;Norte;45394
Centro-Oeste;GO;Professor Jamil;52;521839;52002;Centro Sul;3223
Centro-Oeste;GO;Rialma;52;521860;52013;São Patrício I;10918
Centro-Oeste;GO;Rio Verde;52;521880;52015;Sudoeste I;235647
Centro-Oeste;GO;Santa Fé de Goiás;52;521925;52012;Rio Vermelho;5459
Centro-Oeste;GO;Santo Antônio de Goiás;52;521973;52001;Central;6283
Centro-Oeste;GO;Santo Antônio do Descoberto;52;521975;52004;Entorno Sul;74744
Centro-Oeste;GO;São Luís de Montes Belos;52;522010;52010;Oeste II;33817
Centro-Oeste;GO;Senador Canedo;52;522045;52002;Centro Sul;115371
Centro-Oeste;GO;Trindade;52;522140;52001;Central;127599
Centro-Oeste;GO;Uruaçu;52;522160;52014;Serra da Mesa;40532
Centro-Oeste;GO;Valparaíso de Goiás;52;522185;52004;Entorno Sul;168468
Centro-Oeste;GO;Vianópolis;52;522200;52002;Centro Sul;13863
Centro-Oeste;DF;Brasília;53;530010;53001;Brasília;3015268
Nordeste;MA;Açailândia;21;210005;21001;Açailândia;112445
Nordeste;MA;Água Doce do Maranhão;21;210015;21006;Chapadinha;12571
Nordeste;MA;Alcântara;21;210020;21016;São Luís;22097
Nordeste;MA;Aldeias Altas;21;210030;21005;Caxias;26532
Nordeste;MA;Altamira do Maranhão;21;210040;21002;Bacabal;8128
Nordeste;MA;Alto Alegre do Maranhão;21;210043;21007;Codó;27053
Nordeste;MA;Alto Alegre do Pindaré;21;210047;21014;Santa Inês;31919
Nordeste;MA;Amapá do Maranhão;21;210055;21019;Zé Doca;6962
Nordeste;MA;Amarante do Maranhão;21;210060;21008;Imperatriz;41435
Nordeste;MA;Anajatuba;21;210070;21009;Itapecuru Mirim;26803
Nordeste;MA;Anapurus;21;210080;21006;Chapadinha;15732
Nordeste;MA;Apicum-Açu;21;210083;21011;Pinheiro;17239
Nordeste;MA;Araguanã;21;210087;21019;Zé Doca;15426
Nordeste;MA;Araioses;21;210090;21006;Chapadinha;46440
Nordeste;MA;Arame;21;210095;21004;Barra do Corda;32701
Nordeste;MA;Arari;21;210100;21009;Itapecuru Mirim;29848
Nordeste;MA;Axixá;21;210110;21013;Rosário;12130
Nordeste;MA;Bacabal;21;210120;21002;Bacabal;104949
Nordeste;MA;Bacabeira;21;210125;21013;Rosário;17055
Nordeste;MA;Balsas;21;210140;21003;Balsas;94887
Nordeste;MA;Barão de Grajaú;21;210150;21015;São João dos Patos;18820
Nordeste;MA;Barra do Corda;21;210160;21004;Barra do Corda;88212
Nordeste;MA;Barreirinhas;21;210170;21013;Rosário;62528
Nordeste;MA;Belágua;21;210173;21009;Itapecuru Mirim;7469
Nordeste;MA;Bela Vista do Maranhão;21;210177;21014;Santa Inês;11209
Nordeste;MA;Bequimão;21;210190;21011;Pinheiro;21280
Nordeste;MA;Boa Vista do Gurupi;21;210197;21019;Zé Doca;9287
Nordeste;MA;Bom Jardim;21;210200;21014;Santa Inês;41630
Nordeste;MA;Bom Jesus das Selvas;21;210203;21001;Açailândia;34028
Nordeste;MA;Bom Lugar;21;210207;21002;Bacabal;16294
Nordeste;MA;Brejo;21;210210;21006;Chapadinha;36397
Nordeste;MA;Buriti;21;210220;21005;Caxias;28678
Nordeste;MA;Buriti Bravo;21;210230;21015;São João dos Patos;23884
Nordeste;MA;Buriticupu;21;210232;21001;Açailândia;72358
Nordeste;MA;Buritirana;21;210235;21008;Imperatriz;15430
Nordeste;MA;Cachoeira Grande;21;210237;21013;Rosário;9431
Nordeste;MA;Cajapió;21;210240;21018;Viana;11177
